职位名称,职位链接,职位类别,人数,工作地点,发布时间
['SNG17-QQ智慧校园高级产品策划（深圳）'],['position_detail.php?id=39989&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ支付项目经理（深圳）'],['position_detail.php?id=39990&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ钱包商业支付KA客户运营经理（深圳）'],['position_detail.php?id=39991&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ支付产品策划经理（深圳）'],['position_detail.php?id=39992&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-后台开发工程师（深圳）'],['position_detail.php?id=39994&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-厘米秀后台开发工程师（深圳）'],['position_detail.php?id=39981&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-厘米秀后台开发工程师（深圳）'],['position_detail.php?id=39983&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ运动高级产品运营经理（深圳）'],['position_detail.php?id=39984&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-厘米秀产品策划(深圳)'],['position_detail.php?id=39985&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-手Q厘米秀IOS开发工程师（深圳）'],['position_detail.php?id=39986&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['SNG17-QQ厘米秀引擎开发高级工程师（深圳）'],['position_detail.php?id=39988&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG04-QQ看点内容平台高级开发工程师（上海）'],['position_detail.php?id=39977&keywords=&tid=0&lid=0'],['技术类'],['2'],['上海'],['2018-05-07']
['SNG04-商业变现产品经理（上海）'],['position_detail.php?id=39978&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['SNG03-直播商业化运营经理（深圳）'],['position_detail.php?id=39979&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ钱包后台开发工程师（深圳）'],['position_detail.php?id=39980&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['18402-高级游戏视频设计师（深圳）'],['position_detail.php?id=39982&keywords=&tid=0&lid=0'],['设计类'],['2'],['深圳'],['2018-05-07']
['WXG01-113 微信后台开发工程师（广州）'],['position_detail.php?id=39973&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['16175-eSports Manager – Mobile Game'],['position_detail.php?id=39974&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['WXG02-153 微信系统稳定性工程师（质量管理工程师）'],['position_detail.php?id=39975&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['SNG04-内容平台高级策略算法工程师(上海)'],['position_detail.php?id=39976&keywords=&tid=0&lid=0'],['技术类'],['2'],['上海'],['2018-05-07']
['MIG15-语音用户界面 (VUI) 产品设计师（深圳）'],['position_detail.php?id=39965&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['MIG06-自然语言处理研究员（深圳）'],['position_detail.php?id=39968&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['MIG06-应用宝渠道拓展经理（深圳）'],['position_detail.php?id=39969&keywords=&tid=0&lid=0'],['产品/项目类'],['4'],['深圳'],['2018-05-07']
['MIG16-自动驾驶数据平台高级前端开发工程师（北京）'],['position_detail.php?id=39970&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻客户端Android开发工程师（北京）'],['position_detail.php?id=39960&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻客户端付费内容产品经理（北京）'],['position_detail.php?id=39962&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻付费内容商务拓展（北京）'],['position_detail.php?id=39963&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['23674-腾讯新闻付费内容运营编辑（北京）'],['position_detail.php?id=39964&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['SA-腾讯社交广告渠道合作产品运营经理（微信广告 深圳）'],['position_detail.php?id=39953&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['20718-Java高级开发工程师（深圳）'],['position_detail.php?id=39955&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
