职位名称,职位链接,职位类别,人数,工作地点,发布时间
['SA-腾讯社交广告联盟广告应用开发高级工程师（北京）'],['position_detail.php?id=39832&keywords=&tid=0&lid=0'],['技术类'],['2'],['北京'],['2018-05-07']
['22025-沙盒资深3D关卡设计（深圳）'],['position_detail.php?id=39833&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22025-沙盒游戏资深TA技术美术（深圳）'],['position_detail.php?id=39834&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22025-沙盒游戏资深2D原画设计（深圳）'],['position_detail.php?id=39835&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22025-大世界沙盒游戏特效设计师（深圳）'],['position_detail.php?id=39836&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22025-沙盒游戏资深2D场景设计（深圳）'],['position_detail.php?id=39837&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22025-沙盒游戏资深3D动画特效设计（深圳）'],['position_detail.php?id=39838&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['MIG08-产品运营经理(腾讯WiFi管家)（广州）'],['position_detail.php?id=39840&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['广州'],['2018-05-07']
['综合体育内容运营（北京）'],['position_detail.php?id=39825&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['MIG06-C/C++后台开发工程师（深圳）'],['position_detail.php?id=39826&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['SNG16-腾讯音乐Android开发工程师（北京）'],['position_detail.php?id=39807&keywords=&tid=0&lid=0'],['技术类'],['2'],['北京'],['2018-05-07']
['SNG16-腾讯音乐后台开发工程师（北京）'],['position_detail.php?id=39808&keywords=&tid=0&lid=0'],['技术类'],['2'],['北京'],['2018-05-07']
['GY0-Web开发工程师（深圳）'],['position_detail.php?id=39810&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['18402-移动游戏数据分析（深圳）'],['position_detail.php?id=39800&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18402-休闲类手游运营负责人（深圳）'],['position_detail.php?id=39801&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18402-RPG/FPS品类手游运营负责人（深圳）'],['position_detail.php?id=39802&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['25923-游戏高级技术运营工程师（成都）'],['position_detail.php?id=39804&keywords=&tid=0&lid=0'],['技术类'],['1'],['成都'],['2018-05-07']
['24546-内容运营营销组组长（北京）'],['position_detail.php?id=39792&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['18302-新横版动作手游高级运营经理（深圳）'],['position_detail.php?id=39794&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG01-web前端开发工程师（北京）'],['position_detail.php?id=39795&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['18436-资产证券化云平台金融风控专家'],['position_detail.php?id=39819&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['MIG06-应用宝推荐架构后台开发（深圳）'],['position_detail.php?id=39820&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['CS-高级视觉设计师'],['position_detail.php?id=39822&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['OMG08-媒介经理（项目制）'],['position_detail.php?id=39809&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['24491-Content Manager'],['position_detail.php?id=39811&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['美国'],['2018-05-07']
['24491-Sr. Community Manager'],['position_detail.php?id=39812&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['美国'],['2018-05-07']
['MIG06-应用宝合作渠道产品经理（深圳）'],['position_detail.php?id=39813&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['23674-Android开发工程师（北京）'],['position_detail.php?id=39803&keywords=&tid=0&lid=0'],['技术类'],['2'],['北京'],['2018-05-07']
['SNG06-QQ动漫终端开发工程师（深圳）'],['position_detail.php?id=39805&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['17757-香港新闻编辑（香港）'],['position_detail.php?id=39806&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['香港'],['2018-05-07']
['SNG04-内容平台产品经理（内容策略）'],['position_detail.php?id=39827&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['SNG04-内容平台产品运营经理'],['position_detail.php?id=39828&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['25664-腾讯云交付项目经理（深圳）'],['position_detail.php?id=39830&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['27092-移动商业后台开发工程师（深圳）'],['position_detail.php?id=39821&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['15602-3D手游项目主美（深圳）'],['position_detail.php?id=39823&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['25928-语音算法高级工程师（深圳）'],['position_detail.php?id=39824&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['24491-e-Sports Broadcast Producer'],['position_detail.php?id=39815&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['美国'],['2018-05-07']
['MIG06-应用宝品牌营销经理（深圳）'],['position_detail.php?id=39816&keywords=&tid=0&lid=0'],['市场类'],['1'],['深圳'],['2018-05-07']
['16175-海外游戏运营策划经理'],['position_detail.php?id=39817&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['24491-海外游戏活动运营'],['position_detail.php?id=39818&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18302-剑灵IP手游高级运营经理（深圳）'],['position_detail.php?id=39796&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18302-新动作手游高级商业化运营（深圳）'],['position_detail.php?id=39797&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['21882-前端开发'],['position_detail.php?id=39798&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['23674-新闻图像视频算法高级工程师（北京）'],['position_detail.php?id=39799&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['SD3-互娱游戏策划（深圳）'],['position_detail.php?id=39786&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18797-产品资源运营（深圳）'],['position_detail.php?id=39789&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG03-直播B侧运营经理（深圳）'],['position_detail.php?id=39790&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['24546-商业分析师（上海）'],['position_detail.php?id=39791&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['20718-物联网后台开发高级工程师（深圳）'],['position_detail.php?id=39793&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['SNG16-腾讯音乐商业化广告产品经理（深圳）'],['position_detail.php?id=39780&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['MIG08-高级推荐算法工程师（腾讯wifi管家）（广州）'],['position_detail.php?id=39782&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['MIG08-APP挖掘工程师（广州）'],['position_detail.php?id=39783&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['MIG08-推荐算法工程师（广州）'],['position_detail.php?id=39784&keywords=&tid=0&lid=0'],['技术类'],['1'],['广州'],['2018-05-07']
['SNG10-即通用户设计部视觉设计师（上海）'],['position_detail.php?id=39785&keywords=&tid=0&lid=0'],['设计类'],['1'],['上海'],['2018-05-07']
['SD3-海外本地化策划(深圳)'],['position_detail.php?id=39787&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SA-腾讯社交广告微信朋友圈产品运营经理（微信广告 深圳）'],['position_detail.php?id=39774&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['15575-QQ飞车手游高级UI设计师（成都）'],['position_detail.php?id=39777&keywords=&tid=0&lid=0'],['设计类'],['1'],['成都'],['2018-05-07']
['SNG03-渠道运营推广经理（深圳）'],['position_detail.php?id=39778&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['15581-欢乐游戏公共组件开发工程师（深圳）'],['position_detail.php?id=39779&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG06-鹅漫U品商品运营经理（深圳）'],['position_detail.php?id=39781&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['24548-高级商业分析经理'],['position_detail.php?id=39770&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['22850-腾讯视频VIP综合排播管理'],['position_detail.php?id=39771&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['22850-腾讯视频VIP活动营销专员'],['position_detail.php?id=39772&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['26699-智慧零售产品总监'],['position_detail.php?id=39773&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['OMG192-策划经理'],['position_detail.php?id=39765&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['27092-应用宝游戏产品经理（深圳）'],['position_detail.php?id=39766&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['25664-腾讯云政务民生架构师（深圳）'],['position_detail.php?id=39767&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['27087-青腾汇高端社群运营经理（深圳）'],['position_detail.php?id=39768&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['22967-大客户广告整合营销经理'],['position_detail.php?id=39769&keywords=&tid=0&lid=0'],['市场类'],['1'],['广州'],['2018-05-07']
['SD3-微信小游戏合作研发PM（深圳）'],['position_detail.php?id=39757&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23872-游戏市场商业分析（深圳）'],['position_detail.php?id=39762&keywords=&tid=0&lid=0'],['市场类'],['2'],['深圳'],['2018-05-07']
['SA-腾讯社交广告QQ广告商业化产品经理（深圳）'],['position_detail.php?id=39750&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['22086-MLB内容运营（北京）'],['position_detail.php?id=39753&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['18425-信用卡还款开发工程师（深圳）'],['position_detail.php?id=39754&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG11-主机安全后台开发工程师（深圳）'],['position_detail.php?id=39755&keywords=&tid=0&lid=0'],['技术类'],['4'],['深圳'],['2018-05-07']
['17759-视频安全管理（北京）'],['position_detail.php?id=39747&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['WXG06-211 微信支付物料平台行业运营经理'],['position_detail.php?id=39748&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['19116-后台开发高级工程师（深圳）'],['position_detail.php?id=39749&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['WXG06-211 微信支付运营数据分析（深圳）'],['position_detail.php?id=39751&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG02-腾讯云教育行业高级产品经理（深圳）'],['position_detail.php?id=39741&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['S2-OMG财务管理（北京）'],['position_detail.php?id=39742&keywords=&tid=0&lid=0'],['职能类'],['1'],['北京'],['2018-05-07']
['S2-OMG财务管理经理（北京）'],['position_detail.php?id=39743&keywords=&tid=0&lid=0'],['职能类'],['2'],['北京'],['2018-05-07']
['18434-页面重构前端开发（深圳）'],['position_detail.php?id=39744&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['18434-web前端开发工程师（深圳）'],['position_detail.php?id=39745&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['GY0-WeChat Payment Product Operation Manager(Malaysia)'],['position_detail.php?id=39746&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['马来西亚'],['2018-05-07']
['22086-体育产品后台开发（北京）'],['position_detail.php?id=39736&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['SNG10-动漫UI开发工程师（深圳）'],['position_detail.php?id=39738&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['SNG10-动漫视觉设计师（深圳）'],['position_detail.php?id=39739&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['SNG10-动漫交互设计师（深圳）'],['position_detail.php?id=39740&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['27087-腾讯开放平台高级活动品牌策划经理（深圳）'],['position_detail.php?id=39730&keywords=&tid=0&lid=0'],['市场类'],['1'],['深圳'],['2018-05-07']
['SNG06-QQ动漫商业化高级产品经理（深圳）'],['position_detail.php?id=39732&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21882-高级医学编辑'],['position_detail.php?id=39733&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['深圳'],['2018-05-07']
['21882-高级医学编辑'],['position_detail.php?id=39734&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['27087-商业内容产品经理（深圳）'],['position_detail.php?id=39735&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['24548-IP衍生产品设计师'],['position_detail.php?id=39737&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['MIG12-网络后台开发工程师（深圳）'],['position_detail.php?id=39724&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['24548-高级商业分析经理（上海）'],['position_detail.php?id=39726&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['MIG12-5G开发工程师（业务应用）（深圳）'],['position_detail.php?id=39727&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['22968-KA汽车行业销售经理'],['position_detail.php?id=39728&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['SNG06-企鹅电竞海外产品策划经理（深圳）'],['position_detail.php?id=39729&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG06-QQ动漫用户增长产品运营（深圳）'],['position_detail.php?id=39731&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['26563-游戏发行产品运营（深圳）'],['position_detail.php?id=39718&keywords=&tid=0&lid=0'],['产品/项目类'],['4'],['深圳'],['2018-05-07']
['MIG12-网络标准专家/研究员（深圳/北京）'],['position_detail.php?id=39720&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['MIG12-5G业务研究员（深圳/北京）'],['position_detail.php?id=39721&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['19116-互联网+行业商务拓展经理（成都）'],['position_detail.php?id=39722&keywords=&tid=0&lid=0'],['市场类'],['1'],['成都'],['2018-05-07']
['19116-互联网+UI视觉设计师（深圳）'],['position_detail.php?id=39723&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22090-高级交互设计师（深圳）'],['position_detail.php?id=39725&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['22850-腾讯视频VIP产品经理（深圳）'],['position_detail.php?id=39711&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['22090-短视频推荐算法工程师（北京）'],['position_detail.php?id=39713&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['MIG03-安全专项测试工程师（北京）'],['position_detail.php?id=39714&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['17467-IP内容开发产品经理（深圳）'],['position_detail.php?id=39660&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['27092-应用宝游戏用户运营（深圳）'],['position_detail.php?id=39663&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['27092-应用宝游戏赛事运营（深圳）'],['position_detail.php?id=39664&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['15611-Unity游戏客户端开发工程师（深圳）'],['position_detail.php?id=39665&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['19885-合资站经营负责人（长沙）'],['position_detail.php?id=39666&keywords=&tid=0&lid=0'],['市场类'],['1'],['长沙'],['2018-05-07']
['18402-MMO类手游本地化运营（深圳）'],['position_detail.php?id=39668&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21087-游戏本地化运营策划(（深圳）'],['position_detail.php?id=39653&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['21087-游戏渠道用户运营经理（深圳）'],['position_detail.php?id=39654&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21087-游戏商业化运营策划（深圳）'],['position_detail.php?id=39656&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23674-新闻NLP算法高级工程师（北京）'],['position_detail.php?id=39657&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['24491-Creative Design Manager(USA)'],['position_detail.php?id=39673&keywords=&tid=0&lid=0'],['市场类'],['1'],['美国'],['2018-05-07']
['MIG06-应用宝Android终端开发工程师（深圳）'],['position_detail.php?id=39675&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['XN-测试开发工程师（深圳）'],['position_detail.php?id=39676&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['27087-青腾大学服务运营经理（深圳）'],['position_detail.php?id=39677&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18402-移动游戏平台合作（深圳）'],['position_detail.php?id=39667&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18402-商业化与活动策划（深圳）'],['position_detail.php?id=39669&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['15569-魂斗罗高级3D动画师（深圳）'],['position_detail.php?id=39670&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['15581-欢乐游戏运营策划（深圳）'],['position_detail.php?id=39671&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['24491-Creative Design Director(USA)'],['position_detail.php?id=39672&keywords=&tid=0&lid=0'],['市场类'],['1'],['美国'],['2018-05-07']
['23674-搜索架构高级工程师（北京）'],['position_detail.php?id=39659&keywords=&tid=0&lid=0'],['技术类'],['3'],['北京'],['2018-05-07']
['22850-腾讯视频VIP渠道综合管理副组长/组长'],['position_detail.php?id=39716&keywords=&tid=0&lid=0'],['市场类'],['1'],['北京'],['2018-05-07']
['21229-RPG高级产品运营（上海）'],['position_detail.php?id=39717&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['上海'],['2018-05-07']
['26563-游戏平台产品策划（深圳）'],['position_detail.php?id=39719&keywords=&tid=0&lid=0'],['产品/项目类'],['3'],['深圳'],['2018-05-07']
['TEG06-应用后台开发工程师（深圳）'],['position_detail.php?id=39705&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['MIG06-应用宝内容运营产品经理（深圳）'],['position_detail.php?id=39706&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['22850-腾讯视频会员数据产品经理（北京）'],['position_detail.php?id=39710&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['北京'],['2018-05-07']
['23486-证券产品视觉设计师（北京）'],['position_detail.php?id=39712&keywords=&tid=0&lid=0'],['设计类'],['1'],['北京'],['2018-05-07']
['23516-沙盒手游战略规划/项目管理（深圳）'],['position_detail.php?id=39702&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23516-沙盒类手游市场运营（深圳）'],['position_detail.php?id=39703&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23518-项目流程机制管理（深圳）'],['position_detail.php?id=39704&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18797-QQ游戏平台产品经理（深圳）'],['position_detail.php?id=39707&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG06-QQ动漫推荐策略高级产品经理（深圳）'],['position_detail.php?id=39694&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['24547-体育商务合作经理（北京）'],['position_detail.php?id=39695&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['24549-互动运营经理（北京）'],['position_detail.php?id=39696&keywords=&tid=0&lid=0'],['市场类'],['2'],['北京'],['2018-05-07']
['24549-互动运营经理（上海）'],['position_detail.php?id=39697&keywords=&tid=0&lid=0'],['市场类'],['4'],['上海'],['2018-05-07']
['24549-互动运营经理（广州）'],['position_detail.php?id=39698&keywords=&tid=0&lid=0'],['市场类'],['1'],['广州'],['2018-05-07']
['25929-沙盒游戏高级关卡策划'],['position_detail.php?id=39689&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['25929-沙盒游戏高级系统策划'],['position_detail.php?id=39690&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['25929-游戏2D设计'],['position_detail.php?id=39691&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['25929-2D场景设计'],['position_detail.php?id=39692&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['18428-财付通运营开发工程师（深圳）'],['position_detail.php?id=39693&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['23673-短视频热点运营（北京）'],['position_detail.php?id=39683&keywords=&tid=0&lid=0'],['内容编辑类'],['2'],['北京'],['2018-05-07']
['OMG148-高级产品经理（北京）'],['position_detail.php?id=39686&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['北京'],['2018-05-07']
['23517-游戏发行制作人'],['position_detail.php?id=39687&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['25929-互娱游戏高级3D动作设计'],['position_detail.php?id=39688&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['27092-应用宝游戏渠道运营（深圳）'],['position_detail.php?id=39680&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['18428-财付通测试开发工程师（深圳）'],['position_detail.php?id=39681&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['23673-短视频热点运营高级编辑（北京）'],['position_detail.php?id=39682&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['北京'],['2018-05-07']
['25928-游戏客户端开发高级工程师 (深圳)'],['position_detail.php?id=39684&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['27092-腾讯效果广告-高级商业产品经理（深圳）'],['position_detail.php?id=39679&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['23674-新闻搜索算法高级工程师（北京）'],['position_detail.php?id=39658&keywords=&tid=0&lid=0'],['技术类'],['3'],['北京'],['2018-05-07']
['24491-王者荣耀全球版3D角色设计师（深圳）'],['position_detail.php?id=39662&keywords=&tid=0&lid=0'],['设计类'],['1'],['深圳'],['2018-05-07']
['21087-游戏海外英语PM（深圳）'],['position_detail.php?id=39649&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21087-高级游戏业务分析经理（深圳）'],['position_detail.php?id=39650&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21087-渠道及内部合作游戏运营（深圳）'],['position_detail.php?id=39651&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['21087-游戏版本管理（深圳)'],['position_detail.php?id=39652&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['21087-游戏市场运营策划（深圳）'],['position_detail.php?id=39655&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['15611-游戏开发工程师（深圳）'],['position_detail.php?id=39641&keywords=&tid=0&lid=0'],['技术类'],['3'],['深圳'],['2018-05-07']
['15573-移动游戏数据分析（深圳）'],['position_detail.php?id=39644&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG16-全民K歌VIP产品经理（深圳）'],['position_detail.php?id=39645&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG16-腾讯音乐后台开发工程师（深圳）'],['position_detail.php?id=39646&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['21087-业务流程管理（深圳）'],['position_detail.php?id=39648&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['25924-PHP开发工程师（深圳）'],['position_detail.php?id=39636&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['MIG12-技术运营工程师（深圳）'],['position_detail.php?id=39638&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['15611-游戏后台开发工程师（深圳）'],['position_detail.php?id=39639&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['15611-手机游戏开发工程师（深圳）'],['position_detail.php?id=39640&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['15573-移动游戏数值策划（深圳）'],['position_detail.php?id=39642&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['22852-演播室音频工程师'],['position_detail.php?id=39631&keywords=&tid=0&lid=0'],['技术类'],['1'],['北京'],['2018-05-07']
['SNG01-腾讯文档产品经理(深圳)'],['position_detail.php?id=39633&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG01-腾讯文档高级产品经理（深圳）'],['position_detail.php?id=39634&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG06-手Q游戏中心web前端工程师（深圳）'],['position_detail.php?id=39635&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['MIG12-高级数据产品经理（深圳）'],['position_detail.php?id=39637&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
